Ticker,Company,Sector,Industry,Country,Exchange,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Enterprise Value,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Income,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Sales,P/B,ROA,Short Interest,Perf YTD,Book/sh,P/C,EPS next 5Y,ROE,52W High,Perf Year,Cash/sh,P/FCF,EPS past 3/5Y,ROIC,52W Low,Perf 3Y,Dividend Est.,EV/EBITDA,Sales past 3/5Y,Gross Margin,Perf 5Y,Dividend TTM,EV/Sales,EPS Y/Y TTM,Oper. Margin,ATR (14),Perf 10Y,Dividend Ex-Date,Quick Ratio,Sales Y/Y TTM,Profit Margin,RSI (14),Recom,Dividend Gr. 3/5Y,Current Ratio,EPS Q/Q,SMA20,Beta,Target Price,Payout,Debt/Eq,Sales Q/Q,SMA50,Rel Volume,Prev Close,Employees,LT Debt/Eq,Earnings,SMA200,Avg Volume,Price,IPO,Option/Short,EPS/Sales Surpr.,Trades,Volume,Change,Volatility Week,Volatility Month
PAYX,Paychex Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",22.18,4.54,0.1025,358300000.0,0.001,36050000000.0,17.01,0.07719999999999999,0.0,321570000.0,0.1191,39240000000.0,2.03,1.31,0.8229000000000001,0.0622,0.0866,1640000000.0,5.69,0.10310000000000001,-0.0011,5.58,-0.1085,6330000000.0,8.98,0.1139,20010000.0,-0.10300000000000001,11.2,19.7,0.0839,0.40259999999999996,154.90 -35.04%,-0.3444,5.11,17.56,6.07% 8.52%,0.18969999999999998,85.45 17.76%,-0.11019999999999999,4.41 (4.38%),12.78,6.51% 6.64%,0.7298,-0.0416,4.43 (4.40%),6.19,-0.0579,0.4192,2.92,0.8443999999999999,"May 13, 2026",1.26,0.16440000000000002,0.2584,58.96,3.3,13.22% 10.14%,1.26,0.08650000000000001,0.032,0.81,101.85,0.8781,1.25,0.19870000000000002,0.0719,0.73,99.27,19000.0,1.15,Jun 24 BMO,-0.064,3590000.0,100.63,"Aug 26, 1983",Yes / Yes,2.14% 1.50%,,2616237.0,0.0137,0.0268,0.0286
PCAR,Paccar Inc,Industrials,Farm & Heavy Construction Machinery,USA,NASD,"NDX, S&P 500",25.22,4.7,0.0187,526260000.0,0.0158,62380000000.0,17.68,0.1813,-0.0166,516440000.00000006,0.0603,68459999999.99999,1.16,1.36,0.7236,0.0274,0.0276,2480000000.0,2.25,0.1328,-0.0088,5.05,0.057699999999999994,27770000000.0,3.16,0.0574,14150000.0,0.0823,37.54,7.04,0.1524,0.1311,131.88 -10.13%,0.2818,16.83,20.13,-7.80% 12.60%,0.0713,88.92 33.29%,0.6414,3.18 (2.68%),18.23,-0.45% 8.73%,0.1537,1.1677,1.33 (1.12%),2.47,-0.2877,0.1057,3.29,3.0192,"May 13, 2026",1.99,-0.1413,0.0892,56.12,2.55,11.59% 9.20%,2.36,0.1973,0.045,0.96,127.46,0.2927,0.76,-0.08960000000000001,0.006999999999999999,0.93,117.58,25900.0,0.76,Apr 28 BMO,0.0667,2800000.0,118.52,"Jan 03, 1978",Yes / Yes,-0.08% -3.19%,,2614155.0,0.008,0.0348,0.0264
PDD,PDD Holdings Inc ADR,Consumer Cyclical,Internet Retail,China,NASD,NDX,8.89,9.17,0.0242,1420000000.0,-0.041299999999999996,116090000000.0,6.55,0.2057,-0.0001,1390000000.0,-0.18109999999999998,42680000000.0,0.57,2.79,0.2777,0.0248,-0.20550000000000002,13620000000.0,1.86,-0.0333,-0.0216,3.89,-0.2925,62320000000.0,1.89,0.16469999999999999,34420000.0,-0.2807,43.06,1.57,0.11560000000000001,0.2552,139.41 -41.50%,-0.2114,52.1,,38.01% -,0.22089999999999999,78.87 3.41%,0.0719,,,45.79% 47.45%,0.5598,-0.33130000000000004,,0.68,-0.018500000000000003,0.2214,3.13,,,2.54,0.11689999999999999,0.2186,32.44,1.81,- -,2.54,-0.10369999999999999,-0.0786,-0.01,119.8,0.0,0.01,0.16690000000000002,-0.1448,0.69,81.3,25474.0,0.01,May 27 BMO,-0.26780000000000004,8850000.0,81.56,"Jul 26, 2018",Yes / Yes,-41.59% -2.78%,,6110248.0,0.0032,0.026600000000000002,0.030899999999999997
PEP,PepsiCo Inc,Consumer Defensive,Beverages - Non-Alcoholic,USA,NASD,"NDX, S&P 500",22.66,6.37,0.0038,1370000000.0,0.0166,197180000000.0,15.87,0.0521,-0.0066,1360000000.0,-0.0335,239240000000.0,2.68,2.22,0.7759999999999999,0.0184,-0.09759999999999999,8730000000.0,2.07,0.0617,0.0023,3.66,-0.0363,95450000000.0,9.23,0.08220000000000001,25090000.0,0.0052,15.63,18.21,0.0593,0.43920000000000003,171.48 -15.87%,0.09050000000000001,7.92,22.3,-2.24% 3.25%,0.1365,127.60 13.06%,-0.2069,5.87 (4.07%),12.48,2.82% 5.94%,0.5422,-0.0232,5.75 (3.98%),2.51,-0.0645,0.1563,2.93,0.39649999999999996,"Jun 05, 2026",0.72,0.0429,0.0915,43.2,2.4,7.45% 6.93%,0.9,0.2735,-0.0075,0.36,168.79,0.9368000000000001,2.47,0.085,-0.0458,0.97,143.73,306000.0,1.99,Apr 16 BMO,-0.0403,6850000.0,144.27,"Dec 18, 1919",Yes / Yes,4.29% 2.63%,,6624494.0,0.0038,0.0173,0.0194
PLTR,Palantir Technologies Inc,Technology,Software - Infrastructure,USA,NASD,"NDX, S&P 500",144.2,0.89,0.0852,2300000000.0,-0.0556,306830000000.0,61.52,0.42560000000000003,-0.0195,2190000000.0,-0.0158,299110000000.0,1.03,0.34,0.5676,0.0315,-0.1521,2280000000.0,58.73,0.9458,-0.0019,1.56,-0.3189,5220000000.0,36.31,0.26940000000000003,69190000.0,-0.2799,3.52,38.18,0.5975,0.3289,207.52 -38.32%,-0.0533,3.35,114.14,- -,0.2634,122.68 4.33%,7.1783,,148.2,32.92% 32.58%,0.8406999999999999,4.1881,,57.26,2.8383,0.38130000000000003,6.55,,,6.91,0.6770999999999999,0.43670000000000003,39.31,1.97,- -,6.91,3.0406,-0.0775,1.56,189.87,0.0,0.03,0.8471,-0.0834,0.79,131.08,4429.0,0.03,May 04 AMC,-0.2021,44380000.0,127.99,"Sep 30, 2020",Yes / Yes,18.96% 5.85%,,35147594.0,-0.0236,0.0395,0.0455
PYPL,PayPal Holdings Inc,Financial,Credit Services,USA,NASD,"NDX, S&P 500",7.79,5.33,0.0011,892000000.0,0.0058,36630000000.0,7.2,0.08529999999999999,-0.1038,881120000.0,-0.0818,38960000000.0,1.21,1.28,0.7687999999999999,0.0562,-0.0751,5060000000.0,1.08,0.0002,-0.049800000000000004,3.22,-0.321,34020000000.000004,1.85,0.0625,49540000.0,-0.28859999999999997,22.45,3.92,0.0596,0.25120000000000003,79.50 -47.76%,-0.4449,10.59,6.66,37.29% 8.84%,0.1689,38.46 7.98%,-0.3483,0.33 (0.80%),5.12,7.21% 9.24%,0.4143,-0.847,0.42 (1.01%),1.15,0.1931,0.1955,1.19,0.1295,"Jun 04, 2026",1.26,0.0697,0.1487,34.53,2.78,- -,1.26,-0.060899999999999996,-0.04,1.34,47.72,0.0259,0.58,0.08810000000000001,-0.0987,0.76,41.24,23800.0,0.5,May 05 BMO,-0.2505,15390000.0,41.53,"Jul 06, 2015",Yes / Yes,5.43% 3.77%,,11748278.0,0.006999999999999999,0.0231,0.0253
QCOM,Qualcomm Inc,Technology,Semiconductors,USA,NASD,"NDX, S&P 500",23.03,9.19,0.001,1060000000.0,-0.0195,223150000000.0,20.02,-0.0149,-0.0709,1050000000.0,-0.0068000000000000005,228620000000.0,,2.21,0.8131999999999999,0.042800000000000005,0.6309,9920000000.0,5.02,-0.10769999999999999,-0.0148,2.19,0.162,44490000000.0,8.22,0.1764,45040000.0,0.2378,25.76,22.77,-0.004699999999999999,0.3608,259.92 -18.54%,0.33409999999999995,9.3,17.85,-23.90% 2.08%,0.23600000000000002,121.99 73.56%,0.7334,3.61 (1.71%),17.59,0.06% 13.48%,0.5479999999999999,0.5727,3.59 (1.70%),5.14,-0.0672,0.2568,17.25,2.9331,"Jun 04, 2026",1.56,0.0521,0.2231,50.6,2.67,6.76% 6.50%,2.37,1.726,-0.046,1.64,193.39,0.6940000000000001,0.56,-0.0346,0.1505,0.69,202.96,52000.0,0.54,Apr 29 AMC,0.2782,20530000.0,211.72,"Dec 13, 1991",Yes / Yes,3.58% 0.08%,,14115535.0,0.0432,0.079,0.0768
REGN,Regeneron Pharmaceuticals Inc,Healthcare,Biotechnology,USA,NASD,"NDX, S&P 500",14.91,41.04,0.037599999999999995,103200000.0,-0.036699999999999997,64180000000.00001,11.3,0.1656,-0.0014000000000000002,100890000.0,-0.1497,58120000000.0,1.01,10.85,0.8695999999999999,0.0298,-0.17920000000000003,4420000000.0,4.3,0.048499999999999995,-0.0063,3.45,-0.15710000000000002,14920000000.0,2.05,0.1128,3000000.0,-0.2069,299.27,7.32,0.1117,0.14550000000000002,821.11 -25.45%,0.17300000000000001,83.57,15.6,2.76% 6.33%,0.1324,503.25 21.64%,-0.1882,3.97 (0.65%),13.26,5.62% 11.04%,0.8093,0.1648,3.64 (0.59%),3.9,0.018500000000000003,0.2576,18.76,0.6454000000000001,"May 20, 2026",2.96,0.0592,0.2965,37.75,1.71,- -,3.57,-0.0716,-0.0227,0.24,838.23,0.0849,0.09,0.19039999999999999,-0.1158,0.82,611.48,15410.0,0.06,Apr 29 BMO,-0.1211,870.56K,612.14,"Apr 02, 1991",Yes / Yes,6.24% 3.59%,,715353.0,0.0011,0.030299999999999997,0.0264
ROP,Roper Technologies Inc,Technology,Software - Application,USA,NASD,"NDX, S&P 500",20.93,16.01,0.0038,102400000.0,0.0084,33799999999.999996,14.04,0.08869999999999999,0.0037,100530000.0,0.0592,43890000000.0,1.66,5.3,1.0055,0.042,-0.045700000000000005,1710000000.0,4.17,0.0955,0.0076,3.56,-0.2426,8119999999.999999,1.82,0.052000000000000005,4230000.0,-0.2475,183.77,88.28,0.08439999999999999,0.0901,575.77 -41.82%,-0.4144,3.79,13.25,8.46% 9.58%,0.06,305.96 9.48%,-0.2622,3.40 (1.01%),13.74,13.73% 10.24%,0.6940000000000001,-0.2706,3.47 (1.04%),5.41,0.152,0.2809,9.88,0.9459000000000001,"Jul 08, 2026",0.49,0.1207,0.2112,50.62,2.48,9.99% 9.99%,0.53,0.5899,0.0175,0.75,454.21,0.2384,0.56,0.11289999999999999,-0.0222,0.95,332.71,19400.0,0.52,Apr 23 BMO,-0.18230000000000002,1190000.0,334.97,"Feb 13, 1992",Yes / Yes,3.50% 1.55%,,1127679.0,0.0068000000000000005,0.026699999999999998,0.028399999999999998
ROST,Ross Stores Inc,Consumer Cyclical,Apparel Retail,USA,NASD,"NDX, S&P 500",33.47,7.18,0.0216,321040000.0,0.0424,77030000000.0,27.81,0.10339999999999999,-0.0069,313840000.0,0.134,77600000000.0,2.21,1.94,0.9170999999999999,0.0268,0.1641,2320000000.0,3.24,0.1839,-0.0052,3.02,0.3207,23780000000.0,12.23,0.1551,8400000.0,0.33299999999999996,19.64,18.55,0.12560000000000002,0.3898,240.51 -0.16%,0.7990999999999999,12.94,29.26,14.72% 93.97%,0.2304,124.49 92.89%,1.2575,1.80 (0.75%),22.62,6.76% 12.67%,0.2809,0.9998,1.70 (0.71%),3.26,0.1346,0.1222,6.12,3.4775,"Jun 09, 2026",0.94,0.1186,0.0974,63.69,1.77,9.32% 42.06%,1.54,0.38060000000000005,0.056600000000000004,0.85,261.19,0.245,0.75,0.2057,0.0674,1.05,239.11,111000.0,0.59,May 21 AMC,0.26789999999999997,2780000.0,240.13,"Aug 08, 1985",Yes / Yes,16.72% 6.54%,,2918882.0,0.0043,0.0222,0.0254
